id,tv,radio,social_media,influencer,sales
0,11124.31,6906.88,2907.98,Mega,34660.9494
1,102.79,12676.45,2409.57,Mega,15456.038400000001
2,45774.58,14914.53,2913.41,Mega,63816.2316
3,65232.46,32016.26,6922.3,Mega,189884.0658
4,11376.1,5490.95,1406.0,Micro,22198.202400000002
5,40583.98,11999.3,1027.16,Mega,67744.72320000001
6,54064.46,14125.79,4273.6,Micro,91904.1024
7,30221.43,14291.12,2289.85,Nano,35076.7494
8,60356.57,28263.0,7130.12,Macro,101202.65100000001
9,5359.62,488.2,2229.42,Mega,27067.4514
10,38953.58,22981.32,5151.48,Nano,130407.69720000001
11,55584.3,22292.69,3194.92,Mega,61811.131799999996
12,55991.67,11668.59,3921.15,Micro,112967.2896
13,49915.64,134.46,2372.71,Nano,80885.277
14,34367.91,2598.37,60.4,Nano,81853.3188
15,44937.21,11916.66,940.8,Mega,92526.984
16,15984.55,9291.35,1853.22,Micro,35160.51
17,112023.94,20071.54,3674.3,Macro,176185.6668
18,86732.64,53502.86,4636.56,Nano,183007.25519999999
19,39434.3,15485.98,3884.58,Macro,58156.843799999995
20,45883.54,44510.05,2832.45,Macro,118071.0894
21,21584.56,2077.12,4556.7,Micro,60883.0596
22,118439.09,44257.96,6886.53,Nano,199160.841
23,100575.82,26257.45,1227.18,Micro,141279.7452
24,59146.81,12869.5,4060.78,Nano,64740.588
25,29801.13,4418.07,2179.48,Micro,52993.743
26,39334.84,10126.09,3055.76,Mega,39898.5972
27,28386.51,16407.51,1971.18,Nano,81147.10560000001
28,59253.97,31163.54,5573.09,Mega,146148.1362
29,87504.13,44253.82,6432.0,Micro,149519.799
30,21195.03,5089.77,3558.31,Nano,23086.951800000003
31,97632.62,17752.06,5263.65,Micro,175195.9308
32,58189.63,12478.66,2814.01,Mega,76741.9092
33,32693.5,15732.62,1905.04,Mega,95771.3196
34,47128.0,14854.13,4079.29,Nano,65663.3802
35,43575.49,16119.23,6199.77,Mega,119881.443
36,58021.05,19150.84,2188.93,Macro,146490.70919999998
37,98985.48,22309.38,3419.67,Macro,104736.81899999999
38,70358.45,16653.38,2593.7,Macro,76539.5136
39,114229.98,33789.56,5611.22,Macro,181569.0624
40,87887.78,10743.54,3223.65,Micro,126503.6256
41,109981.69,47726.51,8529.6,Mega,213014.7492
42,49431.49,9227.19,679.28,Macro,54487.870800000004
43,8485.16,8778.98,1591.12,Macro,19303.7394
44,18762.94,868.35,2676.08,Micro,59340.4746
45,33578.85,9204.32,41.49,Macro,57477.7896
46,20198.64,6272.11,2566.79,Mega,57313.0008
47,15407.0,20737.71,463.28,Macro,69222.5886
48,74318.28,52617.19,7236.17,Mega,175925.0658
49,102784.77,42065.41,8697.49,Nano,144427.8
50,58741.18,14333.06,3373.81,Mega,83658.7026
51,44980.87,29465.01,2087.91,Micro,107929.83299999998
52,3799.92,4678.3,2400.12,Micro,21128.1114
53,44217.52,5329.32,1729.67,Macro,70095.7356
54,10601.54,4901.97,413.97,Mega,16499.3862
55,27854.36,6051.31,2442.17,Macro,39925.3074
56,16468.47,13202.79,3356.11,Nano,18969.7464
57,82860.12,42999.85,6096.74,Mega,107945.3892
58,115526.3,34144.25,6109.37,Macro,157242.1092
