id,tv,radio,social_media,influencer,sales
0,11124.31,6906.88,2907.98,Mega,34660.95
1,102.79,12676.45,2409.57,Mega,15456.04
2,45774.58,14914.53,2913.41,Mega,63816.23
3,65232.46,32016.26,6922.3,Mega,189884.07
4,11376.1,5490.95,1406.0,Micro,22198.2
5,40583.98,11999.3,1027.16,Mega,67744.72
6,54064.46,14125.79,4273.6,Micro,91904.1
7,30221.43,14291.12,2289.85,Nano,35076.75
8,60356.57,28263.0,7130.12,Macro,101202.65
9,5359.62,488.2,2229.42,Mega,27067.45
10,38953.58,22981.32,5151.48,Nano,130407.7
11,55584.3,22292.69,3194.92,Mega,61811.13
12,55991.67,11668.59,3921.15,Micro,112967.29
13,49915.64,134.46,2372.71,Nano,80885.28
14,34367.91,2598.37,60.4,Nano,81853.32
15,44937.21,11916.66,940.8,Mega,92526.98
16,15984.55,9291.35,1853.22,Micro,35160.51
17,112023.94,20071.54,3674.3,Macro,176185.67
18,86732.64,53502.86,4636.56,Nano,183007.26
19,39434.3,15485.98,3884.58,Macro,58156.84
20,45883.54,44510.05,2832.45,Macro,118071.09
21,21584.56,2077.12,4556.7,Micro,60883.06
22,118439.09,44257.96,6886.53,Nano,199160.84
23,100575.82,26257.45,1227.18,Micro,141279.75
24,59146.81,12869.5,4060.78,Nano,64740.59
25,29801.13,4418.07,2179.48,Micro,52993.74
26,39334.84,10126.09,3055.76,Mega,39898.6
27,28386.51,16407.51,1971.18,Nano,81147.11
28,59253.97,31163.54,5573.09,Mega,146148.14
29,87504.13,44253.82,6432.0,Micro,149519.8
30,21195.03,5089.77,3558.31,Nano,23086.95
31,97632.62,17752.06,5263.65,Micro,175195.93
32,58189.63,12478.66,2814.01,Mega,76741.91
33,32693.5,15732.62,1905.04,Mega,95771.32
34,47128.0,14854.13,4079.29,Nano,65663.38
35,43575.49,16119.23,6199.77,Mega,119881.44
36,58021.05,19150.84,2188.93,Macro,146490.71
37,98985.48,22309.38,3419.67,Macro,104736.82
38,70358.45,16653.38,2593.7,Macro,76539.51
39,114229.98,33789.56,5611.22,Macro,181569.06
40,87887.78,10743.54,3223.65,Micro,126503.63
41,109981.69,47726.51,8529.6,Mega,213014.75
42,49431.49,9227.19,679.28,Macro,54487.87
43,8485.16,8778.98,1591.12,Macro,19303.74
44,18762.94,868.35,2676.08,Micro,59340.47
45,33578.85,9204.32,41.49,Macro,57477.79
46,20198.64,6272.11,2566.79,Mega,57313.0
47,15407.0,20737.71,463.28,Macro,69222.59
48,74318.28,52617.19,7236.17,Mega,175925.07
49,102784.77,42065.41,8697.49,Nano,144427.8
50,58741.18,14333.06,3373.81,Mega,83658.7
51,44980.87,29465.01,2087.91,Micro,107929.83
52,3799.92,4678.3,2400.12,Micro,21128.11
53,44217.52,5329.32,1729.67,Macro,70095.74
54,10601.54,4901.97,413.97,Mega,16499.39
55,27854.36,6051.31,2442.17,Macro,39925.31
56,16468.47,13202.79,3356.11,Nano,18969.75
57,82860.12,42999.85,6096.74,Mega,107945.39
58,115526.3,34144.25,6109.37,Macro,157242.11
59,38687.75,22533.64,2638.64,Mega,102770.58
60,40401.9,4708.13,2527.85,Nano,90888.34
61,52181.56,5778.75,358.47,Micro,118146.17
62,94815.18,23337.22,3952.45,Mega,140218.19
63,19161.29,25654.19,4529.93,Mega,26134.23
64,74990.59,23900.98,8080.73,Nano,188899.89
65,69307.9,21870.99,6546.16,Mega,227647.88
66,23175.03,1372.43,1077.72,Mega,26987.8
67,69165.75,12137.54,6741.38,Micro,108536.8
68,55073.51,15277.05,4587.7,Macro,84786.65
69,71134.47,23860.05,5514.19,Nano,101567.01
70,106235.24,13026.86,3212.25,Macro,123727.39
71,42437.41,16756.1,4117.63,Micro,101898.36
72,41761.73,22363.89,3239.27,Mega,80188.8
73,119562.12,25391.87,6063.46,Mega,123758.33
74,53818.27,14608.9,827.55,Mega,68898.53
75,27211.65,8074.45,2414.19,Nano,19387.91
76,89264.08,19187.66,2642.5,Mega,165762.01
77,15251.99,4913.5,2136.63,Mega,26123.45
78,68838.9,35083.21,3590.09,Nano,152258.46
79,24342.95,9670.87,3818.83,Mega,84269.53
80,675.63,1688.53,1305.73,Mega,19706.72
81,58479.74,71122.91,9322.96,Micro,161380.91
82,109093.73,41502.87,3698.66,Nano,219423.51
83,30346.59,15144.13,4034.66,Macro,51257.84
84,74147.49,48173.04,6398.28,Mega,130956.28
85,128495.41,49707.2,5789.3,Micro,198276.93
86,27016.86,11040.01,1915.52,Macro,62567.4
87,16967.82,833.66,2359.2,Mega,67039.77
88,10125.42,3067.66,4208.32,Mega,38538.21
89,73849.29,18830.83,3215.46,Micro,174991.21
90,20377.99,9314.42,4187.83,Micro,19640.45
91,58350.78,18499.72,7673.64,Micro,187475.94
92,6942.14,3961.13,328.47,Nano,26722.42
93,27581.89,18054.1,3797.37,Nano,91469.58
94,43995.23,10284.86,558.84,Macro,64049.31
95,37041.57,12815.21,2766.35,Macro,76599.26
96,116688.74,25894.68,3327.27,Nano,172004.64
97,18629.22,8769.03,4377.59,Mega,82802.74
98,25862.17,6389.22,338.0,Macro,52020.74
99,27882.66,7926.1,3279.48,Macro,61315.35
100,103769.69,17727.42,2261.41,Mega,194917.52
101,96149.94,35477.58,6765.66,Nano,172620.38
102,46806.1,15725.35,3290.82,Nano,116128.34
103,103684.84,28481.69,2924.28,Nano,133234.99
104,113308.01,45590.33,4610.93,Macro,110078.08
105,53283.75,13619.2,2642.41,Macro,109919.46
106,20081.98,22886.17,4337.63,Nano,64534.98
107,26437.41,4964.16,3.18,Micro,42145.36
108,53490.14,11047.67,2367.56,Macro,103900.61
109,40919.26,22722.32,3306.71,Macro,82603.84
110,56950.97,28154.56,2060.72,Micro,109152.8
111,59201.78,10089.31,1998.22,Mega,89483.28
112,97330.34,27778.19,4540.9,Macro,118973.76
113,67484.77,22849.11,1049.37,Micro,163730.2
114,129987.47,51841.82,8091.61,Mega,135739.26
115,40832.8,19185.69,1501.45,Nano,92141.33
116,72344.84,27050.18,2162.5,Mega,152131.19
117,28005.91,7147.74,1605.21,Macro,53875.16
118,13422.14,18280.57,3986.57,Macro,62926.52
119,35806.66,29672.28,5087.02,Micro,106575.61
120,29891.19,5085.02,1415.64,Mega,43164.29
121,39550.27,6937.97,1652.76,Mega,62922.9
122,97197.88,49555.49,5273.16,Mega,167081.93
123,17378.6,715.5,5286.68,Mega,35317.1
124,52691.8,20795.35,4889.99,Macro,50635.7
125,32129.72,4570.62,903.06,Micro,85846.33
126,7962.94,5419.11,286.04,Micro,25320.38
127,41750.84,19618.04,1320.08,Mega,80193.26
128,34661.76,9933.34,887.76,Macro,50509.95
129,63009.23,31661.09,1495.6,Nano,151289.36
130,50720.02,41383.46,1520.8,Mega,148869.34
131,67632.28,21238.17,3529.27,Nano,83424.02
132,82488.31,29201.64,8980.23,Micro,202594.39
133,126350.45,32686.55,9997.47,Nano,197561.44
134,55364.64,44213.12,7776.98,Nano,147505.22
135,79620.82,24492.86,5708.1,Mega,165290.7
136,39793.68,22552.18,792.2,Mega,51923.63
137,67228.74,10390.01,1503.08,Macro,98475.38
138,43750.77,14887.69,932.53,Macro,35646.18
139,44525.01,25544.03,1506.11,Micro,155025.99
140,15836.62,8418.63,3298.36,Micro,60608.03
141,6265.91,11851.5,608.82,Mega,39285.56
