id,tv,radio,social_media,influencer,sales
0,6407.155414244084,6799.247646626749,2907.98,Mega,-31344.11020553734
1,2051.8608430906447,8986.671249978212,2409.57,Mega,77928.22457553417
2,25859.94482937482,17514.753328717525,2913.41,Mega,208702.88386577019
3,89753.47393736936,33827.757890969006,6922.3,Mega,297142.51337119186
4,18329.44548603638,6516.28755860242,1406.0,Micro,65833.51591000757
5,33695.97370770862,12252.346036399922,1027.16,Mega,177374.90136075532
6,56101.89447543061,32740.90782319443,4273.6,Micro,228698.09791643408
7,33104.54442423226,17404.117027811237,2289.85,Nano,142224.41604820255
8,85559.03997337341,25957.9650060428,7130.12,Macro,239788.76104005566
9,-282.20308057361217,2816.258946799503,2229.42,Mega,95078.19940057548
10,82577.97340903406,21370.357024838482,5151.48,Nano,205222.6236700068
11,40368.8224257086,17104.693822893983,3194.92,Mega,129026.67690459362
12,46491.97318875436,18605.265870610307,3921.15,Micro,242334.26404630757
13,64609.72552486008,-2524.2602140903896,2372.71,Nano,154924.15312617473
14,35264.93461213382,6598.7796121361625,60.4,Nano,162993.59285517683
15,51678.657446282334,24885.897900498836,940.8,Mega,212911.7046162333
16,26828.162114509927,12960.188972846183,1853.22,Micro,76002.62968240435
17,91081.6271579373,34216.24052150422,3674.3,Macro,331837.1376794056
18,101868.771040862,38672.94178821965,4636.56,Nano,308487.51227409794
19,58723.13682052775,17095.145751368196,3884.58,Macro,174358.24082786232
20,61753.672210787656,37554.92541766425,2832.45,Macro,379426.2587829599
21,45206.52289209253,3120.694686239929,4556.7,Micro,97233.77261362295
22,99940.12771948568,38749.696027507554,6886.53,Nano,432782.1048020233
23,104722.94092511546,13528.197898604292,1227.18,Micro,329209.0089760451
24,50443.15369149523,33501.044057547944,4060.78,Nano,263030.6746709611
25,28741.634240444204,12285.067253051115,2179.48,Micro,99277.64744014302
26,46447.69180003637,2246.5543254213153,3055.76,Mega,151379.28154844022
27,15566.894789837135,12257.641314103757,1971.18,Nano,119237.38734184435
28,41406.46005056034,16115.227221070476,5573.09,Mega,262243.4328024119
29,81584.96158846069,27966.682893964873,6432.0,Micro,280398.37237214483
30,36356.61044518824,5016.207237690892,3558.31,Nano,108861.79429514238
31,98965.50672305637,30342.78860842582,5263.65,Micro,274249.9897281573
32,66615.7141862949,8663.675507143227,2814.01,Mega,76941.25170207223
33,47169.680654553085,19566.149708163422,1905.04,Mega,85552.94623535908
34,58426.78093819467,21707.712817036787,4079.29,Nano,119762.83563049609
35,58915.510762449994,24333.169034388695,6199.77,Mega,269350.1318352778
36,43184.6727812864,14298.564146507098,2188.93,Macro,290404.86944673926
