id,tv,radio,social_media,influencer,sales
0,18130.52,5546.97,2907.98,Mega,38104.8
1,152.02,11189.25,2409.57,Mega,37882.63
2,52765.69,20417.03,2913.41,Mega,78710.39
3,93703.78,29058.32,6922.3,Mega,187336.01
4,11855.55,11377.0,1406.0,Micro,38796.33
5,28178.38,10072.04,1027.16,Mega,53226.28
6,60130.2,19695.64,4273.6,Micro,149144.29
7,19917.7,21117.34,2289.85,Nano,90437.1
8,48038.72,19193.68,7130.12,Macro,223493.85
9,7707.71,494.48,2229.42,Mega,46167.56
10,42247.53,37212.57,5151.48,Nano,134243.25
11,73567.73,17459.22,3194.92,Mega,142416.37
12,63828.64,24887.24,3921.15,Micro,182378.14
13,64046.12,160.12,2372.71,Nano,82391.72
14,32263.05,1902.92,60.4,Nano,106876.86
15,49966.45,18649.06,940.8,Mega,161498.37
16,25834.24,4764.94,1853.22,Micro,61974.2
17,104397.3,18455.78,3674.3,Macro,301500.78
18,70005.65,52394.71,4636.56,Nano,170086.93
19,29221.5,10813.64,3884.58,Macro,159126.57
20,77065.3,53892.68,2832.45,Macro,165460.4
21,34525.47,1797.92,4556.7,Micro,66246.43
22,88529.76,53428.13,6886.53,Nano,330849.63
23,74926.25,16590.16,1227.18,Micro,142360.53
24,67183.37,15107.07,4060.78,Nano,177461.89
25,29728.06,3950.09,2179.48,Micro,72307.8
26,46680.28,8032.29,3055.76,Mega,49872.48
27,23204.74,19573.26,1971.18,Nano,81396.24
28,85375.82,30931.0,5573.09,Mega,159367.98
29,117594.3,41029.04,6432.0,Micro,234495.89
30,26160.02,2550.08,3558.31,Nano,33912.32
31,98472.43,31987.33,5263.65,Micro,180026.73
32,60717.98,14848.71,2814.01,Mega,128382.36
33,46846.28,13462.81,1905.04,Mega,143209.76
34,47651.54,13367.62,4079.29,Nano,106132.69
35,78835.06,19494.22,6199.77,Mega,248223.85
36,52361.15,32999.11,2188.93,Macro,260148.52
37,56259.53,24978.39,3419.67,Macro,213847.58
38,48691.99,7861.25,2593.7,Macro,116896.0
39,94083.08,27737.41,5611.22,Macro,222768.25
40,57708.02,23576.71,3223.65,Micro,160127.82
41,101360.86,53942.41,8529.6,Mega,236146.62
42,47005.49,15429.2,679.28,Macro,83159.65
43,11434.62,5501.73,1591.12,Macro,18641.79
44,18712.35,501.71,2676.08,Micro,115446.09
45,33084.23,9990.42,41.49,Macro,86084.45
46,16640.13,16676.97,2566.79,Mega,83277.04
47,13044.05,21422.25,463.28,Macro,76311.28
48,103606.8,41371.21,7236.17,Mega,232704.62
49,107520.58,52326.39,8697.49,Nano,267603.16
50,56271.67,20225.33,3373.81,Mega,212597.31
51,53087.43,16130.27,2087.91,Micro,125607.59
52,3506.48,3219.22,2400.12,Micro,34912.74
53,40603.42,11983.75,1729.67,Macro,94297.04
54,10932.23,4238.48,413.97,Mega,45776.06
55,24010.14,12058.66,2442.17,Macro,43514.33
56,22358.88,8406.89,3356.11,Nano,46655.88
57,67702.69,30298.72,6096.74,Mega,148728.9
58,93553.28,29089.32,6109.37,Macro,251621.9
59,40104.66,20820.58,2638.64,Mega,128807.01
60,42487.32,4388.2,2527.85,Nano,83982.32
61,94279.0,16341.89,358.47,Micro,218331.2
62,84925.85,35041.18,3952.45,Mega,219520.52
63,19351.18,25180.72,4529.93,Mega,30915.65
64,95219.29,17052.17,8080.73,Nano,282807.29
65,102003.45,22498.08,6546.16,Mega,252223.83
66,33893.47,1813.27,1077.72,Mega,32923.41
67,84136.26,15531.15,6741.38,Micro,187947.39
68,75323.03,10024.64,4587.7,Macro,160690.16
69,81995.69,38820.07,5514.19,Nano,265873.87
70,96368.81,11836.53,3212.25,Macro,285325.46
71,39415.54,20541.73,4117.63,Micro,137230.04
72,46102.94,34500.56,3239.27,Mega,99405.36
73,85104.26,50837.54,6063.46,Mega,301155.59
74,29778.34,20594.13,827.55,Mega,156845.78
75,30760.03,4997.48,2414.19,Nano,51189.57
76,74007.42,32523.15,2642.5,Mega,206900.6
77,19849.97,7149.41,2136.63,Mega,70095.07
78,88958.8,27825.32,3590.09,Nano,274762.16
79,30619.52,6276.42,3818.83,Mega,127544.69
80,606.11,1972.59,1305.73,Mega,34974.65
81,82116.15,56936.2,9322.96,Micro,277928.65
82,103663.17,31727.23,3698.66,Nano,273768.28
83,35473.73,21466.49,4034.66,Macro,122690.03
84,96657.68,23191.07,6398.28,Mega,236250.95
85,101677.7,15005.04,5789.3,Micro,209767.31
86,31730.89,10004.26,1915.52,Macro,71745.84
87,18029.27,459.64,2359.2,Mega,73700.46
88,12201.99,2634.68,4208.32,Mega,59846.82
89,91691.68,33065.2,3215.46,Micro,198977.66
90,27811.92,10844.64,4187.83,Micro,47615.51
91,67005.81,42772.23,7673.64,Micro,205983.6
92,11586.88,2214.94,328.47,Nano,55261.84
93,34087.37,26254.99,3797.37,Nano,115804.66
94,28798.49,13751.05,558.84,Macro,68082.28
95,49069.18,10008.15,2766.35,Macro,72803.65
96,80971.61,48115.77,3327.27,Nano,311465.26
97,25372.83,5732.27,4377.59,Mega,89743.18
98,47476.71,12948.91,338.0,Macro,96473.93
99,20010.77,4527.32,3279.48,Macro,110985.4
100,128369.56,20175.68,2261.41,Mega,332370.5
101,114253.3,27943.05,6765.66,Nano,237577.64
102,66170.52,30453.73,3290.82,Nano,184886.01
103,98892.5,34551.38,2924.28,Nano,250907.54
104,77049.92,20735.3,4610.93,Macro,182938.29
105,75909.2,32639.19,2642.41,Macro,115568.74
106,22689.7,15849.84,4337.63,Nano,77250.7
108,21573.76,2265.23,3.18,Micro,48251.28
109,43578.56,17284.7,2367.56,Macro,161229.65
110,31348.4,13697.36,3306.71,Macro,119406.37
111,53009.74,29346.04,2060.72,Micro,159783.0
112,61984.51,7868.79,1998.22,Mega,129196.03
113,96031.62,20016.36,4540.9,Macro,228919.71
114,78587.73,14168.37,1049.37,Micro,155699.92
115,138934.16,38741.73,8091.61,Mega,243764.21
116,25736.08,18218.46,1501.45,Nano,143290.43
117,78126.44,44264.84,2162.5,Mega,244266.83
118,26287.24,6201.12,1605.21,Macro,124568.78
119,10501.06,15634.54,3986.57,Macro,89941.17
120,39866.07,12435.93,5087.02,Micro,110146.25
121,45571.9,6271.15,1415.64,Mega,53608.42
122,31754.46,6489.49,1652.76,Mega,101937.28
123,81422.59,22943.37,5273.16,Mega,265213.42
124,19478.53,1892.94,5286.68,Mega,56495.45
125,41452.34,24230.73,4889.99,Macro,107522.16
126,25128.61,14699.3,903.06,Micro,86665.91
127,5931.48,3231.92,286.04,Micro,47580.78
128,39144.64,13646.35,1320.08,Mega,98540.45
129,30061.44,20422.84,887.76,Macro,95777.42
130,81224.03,24002.6,1495.6,Nano,182996.76
131,77857.05,34757.18,1520.8,Mega,146853.72
132,83576.87,24777.04,3529.27,Nano,204197.72
133,70234.89,34707.49,8980.23,Micro,342814.18
134,119693.83,31286.92,9997.47,Nano,327701.54
