id,tv,radio,social_media,influencer,sales
0,11124.31,6906.88,2907.98,Mega,26258.295
1,102.79,12676.45,2409.57,Mega,11709.12
2,45774.58,14914.53,2913.41,Mega,48345.63
3,65232.46,32016.26,6922.3,Mega,143851.565
4,11376.1,5490.95,1406.0,Micro,16816.82
5,40583.98,11999.3,1027.16,Mega,51321.76
6,54064.46,14125.79,4273.6,Micro,69624.32
7,30221.43,14291.12,2289.85,Nano,26573.295
8,60356.57,28263.0,7130.12,Macro,76668.675
9,5359.62,488.2,2229.42,Mega,20505.645
10,38953.58,22981.32,5151.48,Nano,98793.71
11,55584.3,22292.69,3194.92,Mega,46826.615
12,55991.67,11668.59,3921.15,Micro,85581.28
13,49915.64,134.46,2372.71,Nano,61276.725
14,34367.91,2598.37,60.4,Nano,62010.09
15,44937.21,11916.66,940.8,Mega,70096.2
16,15984.55,9291.35,1853.22,Micro,26636.75
17,112023.94,20071.54,3674.3,Macro,133473.99
18,86732.64,53502.86,4636.56,Nano,138641.86
19,39434.3,15485.98,3884.58,Macro,44058.215
20,45883.54,44510.05,2832.45,Macro,89447.795
21,21584.56,2077.12,4556.7,Micro,46123.53
22,118439.09,44257.96,6886.53,Nano,150879.425
23,100575.82,26257.45,1227.18,Micro,107030.11
24,59146.81,12869.5,4060.78,Nano,49045.9
25,29801.13,4418.07,2179.48,Micro,40146.775
26,39334.84,10126.09,3055.76,Mega,30226.21
27,28386.51,16407.51,1971.18,Nano,61475.08
28,59253.97,31163.54,5573.09,Mega,110718.285
29,87504.13,44253.82,6432.0,Micro,113272.575
30,21195.03,5089.77,3558.31,Nano,17490.115
31,97632.62,17752.06,5263.65,Micro,132724.19
32,58189.63,12478.66,2814.01,Mega,58137.81
33,32693.5,15732.62,1905.04,Mega,72554.03
34,47128.0,14854.13,4079.29,Nano,49744.985
35,43575.49,16119.23,6199.77,Mega,90819.275
36,58021.05,19150.84,2188.93,Macro,110977.81
37,98985.48,22309.38,3419.67,Macro,79346.075
38,70358.45,16653.38,2593.7,Macro,57984.48
39,114229.98,33789.56,5611.22,Macro,137552.32
40,87887.78,10743.54,3223.65,Micro,95836.08
41,109981.69,47726.51,8529.6,Mega,161374.81
42,49431.49,9227.19,679.28,Macro,41278.69
43,8485.16,8778.98,1591.12,Macro,14624.045
44,18762.94,868.35,2676.08,Micro,44954.905
45,33578.85,9204.32,41.49,Macro,43543.78
46,20198.64,6272.11,2566.79,Mega,43418.94
47,15407.0,20737.71,463.28,Macro,52441.355
48,74318.28,52617.19,7236.17,Mega,133276.565
49,102784.77,42065.41,8697.49,Nano,109415.0
50,58741.18,14333.06,3373.81,Mega,63377.805
51,44980.87,29465.01,2087.91,Micro,81765.025
52,3799.92,4678.3,2400.12,Micro,16006.145
